id_a,fname,lookup
1,karen,karonhappuck
3,ronald,ron
5,lydia,lyddy
6,joshua,josh
7,barbara,barbery
8,carolyn,cassie
9,david,davey
10,jessica,jessie
11,john,jack
13,rachel,shelly
14,vicki,victoria
15,bobby,hob
16,brenda,brandy
17,carol,lynn
18,christine,chris
19,christopher,christine
20,connie,constance
21,david,day
27,felicia,felix
36,melanie,mellie
37,monica,monna
38,nancy,nanny
39,rachel,shelly
40,ricky,cedric
42,sandra,cassandra
43,sharon,sha
44,stacy,ana
45,teddy,theo
46,teresa,terry
48,victor,vicki
50,willis,willy
52,caleb,cal
54,john,ian
55,jo,joann
56,richard,dick
58,linda,belle
60,michael,mike
61,william,billiewilhelm
63,daphne,daphie
64,john,jack
65,john,johannes
67,amy,millie
68,carole,carrie
69,charles,carl
70,charles,charlie
71,christopher,kit
72,gerald,geraldine
73,gwendolyn,wendy
74,janice,jan
75,lisa,lib
77,margo,midge
78,marvin,marv
79,mary,molly
80,ryan,ry
81,charles,charlie
84,adam,ade
86,andrea,drea
87,andrea,rea
88,angela,angelina
89,angela,angel
90,anthony,tony
91,barbara,bobbie
92,benjamin,ben
94,billy,willy
95,bobby,robin
97,brenda,brandy
99,carolyn,lynn
100,cathy,kaye
101,charles,carl
102,christine,crissy
103,clifton,cliff
106,curtis,curt
107,cynthia,cintha
108,cynthia,cindy
109,dan,sheridan
111,david,dave
112,david,day
113,david,day
114,david,day
116,donald,donny
118,dorothy,dolly
120,edward,ned
121,elizabeth,bessie
122,emily,em
124,fred,willie
125,genevieve,eve
126,george,georgia
127,gerald,jerry
128,gloria,glory
132,jack,jackson
133,jacob,jake
134,james,jimmie
135,jamie,ben
136,jane,janet
137,janet,jean
138,janice,jan
140,jeffrey,jeff
141,jerry,gerald
142,jessica,jessie
143,john,nathan
144,john,ian
145,johnny,john
146,jonathan,john
147,jonathan,john
149,kathleen,katy
151,kenneth,kenny
154,larry,laurence
155,lawrence,larry
156,linda,melinda
157,lloyd,floyd
159,loretta,retta
160,madge,maggie
161,margaret,margie
162,marjorie,margy
163,martha,marty
164,mary,minnie
165,megan,margarita
166,melissa,alice
167,michael,mick
168,mitchell,mitch
170,nathan,nat
171,pamela,pam
172,paul,polly
174,randy,mandy
175,ray,raymond
176,raymond,ray
177,rena,irene
178,ricky,derrick
180,ronald,ron
181,scott,sceeter
183,steve,steph
184,susan,sue
185,susan,susie
186,tammy,tamarra
187,terry,theresa
188,thomas,thom
189,timothy,timmy
190,tony,cliff
197,wendy,gwendolyn
198,william,billy
199,william,billy
200,wilma,minnie
202,john,ian
203,jon,john
204,stephen,steven
205,helen,ellen
206,natasha,tasha
207,patricia,pat
208,sandra,cassandra
211,karen,karon
212,clifford,ford
213,aaron,ronnie
214,angela,angie
216,virginia,jennie
217,lee,leon
218,linda,rose
220,barbara,babs
223,ike,isaac
224,barbara,bab
225,bobby,robert
226,debra,debbie
227,evelyn,ev
229,sherry,shirley
230,shirley,shirl
231,antonia,tony
232,arthur,art
233,christopher,kit
234,clifford,cliff
237,molly,marion
238,ray,raymond
239,richard,dick
240,robert,willie
241,stephen,stephie
242,theresa,thirza
243,william,willie
245,michael,micah
247,michael,micah
249,gerald,geraldine
250,judith,judi
251,teresa,tessa
253,christine,chrissy
254,christopher,christine
255,danny,daniel
256,dennis,denise
257,donald,donnie
259,george,jorge
261,jerry,geraldine
262,katelyn,kate
263,katherine,cassie
264,kenneth,ken
265,lena,kaye
266,linda,roz
268,margie,meg
269,mattie,thys
270,michael,micky
271,michael,mike
274,nancy,ann
275,natasha,tasha
276,patricia,patrick
277,teresa,tessa
279,william,willie
280,william,willy
281,wilma,minnie
282,brandy,brenda
283,amanda,mandy
285,anthony,tony
286,barbara,bobbie
287,billy,fred
288,charles,charlie
289,charlotte,chuck
290,christine,crissy
292,dan,daniel
293,deborah,debra
294,donald,donny
295,elizabeth,beth
296,ellen,ellender
297,emma,emmy
299,evelyn,ev
301,francis,frank
303,james,jimmie
304,james,jem
305,joan,hannah
306,john,johnny
307,john,jack
308,katherine,kate
309,leslie,les
310,linda,mel
311,lois,lou
312,lois,heloise
313,luther,luke
314,marie,mercy
316,mary,polly
317,maurice,morey
318,pamela,pam
319,ralph,raphael
320,ralph,raphael
321,robert,bob
322,roy,leroy
324,tammy,tamarra
325,vivian,viv
327,william,billiewilhelm
328,william,bela
329,willie,wilbur
330,willie,wilda
331,woodrow,drew
332,joanna,joan
335,ella,gabby
336,lloyd,floyd
338,joseph,jos
339,louis,lu
340,catherine,tina
341,mitchell,mitch
342,edward,ned
343,patricia,patrick
345,michael,micah
346,david,dave
347,andrea,drea
348,david,dave
350,regina,reggie
351,howard,hal
352,jacqueline,jack
353,scott,squat
354,andrew,andy
355,allen,al
356,darlene,lena
359,david,dave
360,david,davey
361,edith,edye
362,michael,micky
363,james,jamie
364,leanne,lea
365,melinda,mindy
366,polly,mercy
367,richard,dickie
368,anthony,tony
369,linda,lynn
370,rebecca,becky
371,daniel,danny
372,julia,julie
373,richard,riche
376,william,fred
377,erin,ronnie
379,robert,dob
380,billy,bela
381,bobby,robby
382,bobby,rupert
383,brandy,brenda
384,christopher,christine
385,connie,constance
386,crystal,tal
388,doris,dora
391,jeremiah,jereme
392,joan,jo
393,jody,joanna
394,john,ivan
395,ricky,dickie
396,tammy,tamarra
398,thomas,thom
400,margaret,peg
401,barbara,barbery
403,bobby,bertie
405,brittany,britt
406,brittany,britt
409,cathy,lena
410,charles,carl
411,charlie,chick
412,deborah,debra
413,diana,didi
414,effie,euphemia
415,eloise,lois
417,george,georgiana
420,helen,nellie
421,helen,nellie
423,james,jimmy
424,john,nathan
425,john,johannes
426,jonathan,johannes
427,jonathan,johannes
428,joseph,joey
429,kenny,kendrick
431,lisa,betsy
432,lynn,linda
433,mildred,milly
434,ned,eddy
436,pauline,polly
437,pauline,polly
439,rachel,shelly
440,robert,bobby
442,scott,scotty
446,susan,sue
447,tammy,tamarra
450,william,willy
451,wilma,minnie
452,zeke,zach
454,aaron,ronnie
455,amanda,mandy
